,Target User,Compound List,Positive List,Negative List,Neutral List,Date and Time,Tweets Ago
430,FoxNews,-0.7351,0.076,0.313,0.611,2018-10-03 14:12:43+00:00,11
431,FoxNews,-0.6908,0.0,0.266,0.734,2018-10-03 14:08:05+00:00,12
432,FoxNews,0.5574,0.205,0.0,0.795,2018-10-03 14:02:04+00:00,13
433,FoxNews,0.2732,0.231,0.09,0.679,2018-10-03 13:58:38+00:00,14
434,FoxNews,0.2732,0.116,0.0,0.884,2018-10-03 13:57:26+00:00,15
435,FoxNews,-0.4215,0.0,0.177,0.823,2018-10-03 13:44:40+00:00,16
436,FoxNews,-0.4588,0.083,0.25,0.667,2018-10-03 13:36:59+00:00,17
437,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 13:25:00+00:00,18
438,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 13:15:00+00:00,19
439,FoxNews,-0.4215,0.0,0.189,0.811,2018-10-03 13:14:42+00:00,20
440,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 13:05:00+00:00,1
441,FoxNews,0.743,0.364,0.0,0.636,2018-10-03 12:58:00+00:00,2
442,FoxNews,0.4019,0.162,0.0,0.838,2018-10-03 12:50:00+00:00,3
443,FoxNews,-0.743,0.0,0.51,0.49,2018-10-03 12:45:01+00:00,4
444,FoxNews,-0.2023,0.0,0.153,0.847,2018-10-03 12:30:00+00:00,5
445,FoxNews,0.7184,0.261,0.0,0.739,2018-10-03 12:15:00+00:00,6
446,FoxNews,-0.3182,0.0,0.103,0.897,2018-10-03 12:00:01+00:00,7
447,FoxNews,0.5859,0.167,0.0,0.833,2018-10-03 11:45:00+00:00,8
448,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 11:25:00+00:00,9
449,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 11:15:00+00:00,10
450,FoxNews,0.2732,0.189,0.0,0.811,2018-10-03 10:55:00+00:00,11
451,FoxNews,-0.3182,0.112,0.205,0.683,2018-10-03 10:44:51+00:00,12
452,FoxNews,-0.0258,0.0,0.084,0.916,2018-10-03 10:44:25+00:00,13
453,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 10:43:24+00:00,14
454,FoxNews,0.296,0.136,0.0,0.864,2018-10-03 10:35:00+00:00,15
455,FoxNews,-0.5267,0.0,0.159,0.841,2018-10-03 10:21:00+00:00,16
456,FoxNews,-0.0516,0.142,0.15,0.708,2018-10-03 10:14:01+00:00,17
457,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 10:10:43+00:00,18
458,FoxNews,-0.3612,0.0,0.161,0.839,2018-10-03 10:07:00+00:00,19
459,FoxNews,-0.4019,0.0,0.144,0.856,2018-10-03 10:00:01+00:00,20
460,FoxNews,0.2263,0.176,0.128,0.695,2018-10-03 09:52:00+00:00,1
461,FoxNews,0.2235,0.082,0.0,0.918,2018-10-03 09:45:00+00:00,2
462,FoxNews,-0.4019,0.149,0.298,0.552,2018-10-03 09:40:00+00:00,3
463,FoxNews,-0.296,0.0,0.128,0.872,2018-10-03 09:37:00+00:00,4
464,FoxNews,0.4767,0.215,0.0,0.785,2018-10-03 09:30:00+00:00,5
465,FoxNews,-0.2144,0.0,0.093,0.907,2018-10-03 09:29:13+00:00,6
466,FoxNews,-0.7269,0.0,0.295,0.705,2018-10-03 09:23:04+00:00,7
467,FoxNews,0.4404,0.225,0.0,0.775,2018-10-03 09:15:00+00:00,8
468,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 09:07:00+00:00,9
469,FoxNews,0.3182,0.113,0.0,0.887,2018-10-03 09:00:00+00:00,10
470,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 08:52:00+00:00,11
471,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 08:45:00+00:00,12
472,FoxNews,-0.765,0.0,0.458,0.542,2018-10-03 08:38:00+00:00,13
473,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 08:31:00+00:00,14
474,FoxNews,-0.3612,0.0,0.2,0.8,2018-10-03 08:25:00+00:00,15
475,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 08:20:00+00:00,16
476,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 08:14:00+00:00,17
477,FoxNews,0.128,0.158,0.0,0.842,2018-10-03 08:11:55+00:00,18
478,FoxNews,0.4215,0.128,0.0,0.872,2018-10-03 08:07:00+00:00,19
479,FoxNews,0.4588,0.167,0.0,0.833,2018-10-03 07:59:00+00:00,20
480,FoxNews,-0.7579,0.0,0.481,0.519,2018-10-03 07:52:00+00:00,1
481,FoxNews,0.7096,0.258,0.0,0.742,2018-10-03 07:45:00+00:00,2
482,FoxNews,-0.3612,0.0,0.238,0.762,2018-10-03 07:37:00+00:00,3
483,FoxNews,0.4927,0.138,0.0,0.862,2018-10-03 07:30:00+00:00,4
484,FoxNews,0.7351,0.396,0.0,0.604,2018-10-03 07:23:00+00:00,5
485,FoxNews,0.5399,0.209,0.0,0.791,2018-10-03 07:16:00+00:00,6
486,FoxNews,0.2023,0.163,0.122,0.714,2018-10-03 07:09:00+00:00,7
487,FoxNews,0.3182,0.119,0.0,0.881,2018-10-03 07:01:01+00:00,8
488,FoxNews,-0.3182,0.0,0.141,0.859,2018-10-03 06:55:00+00:00,9
489,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 06:43:00+00:00,10
490,FoxNews,0.4939,0.151,0.0,0.849,2018-10-03 06:36:00+00:00,11
491,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 06:29:00+00:00,12
492,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 06:22:00+00:00,13
493,FoxNews,0.3612,0.143,0.0,0.857,2018-10-03 06:15:01+00:00,14
494,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 06:07:00+00:00,15
495,FoxNews,0.0772,0.061,0.0,0.939,2018-10-03 06:00:00+00:00,16
496,FoxNews,-0.296,0.0,0.155,0.845,2018-10-03 05:52:00+00:00,17
497,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 05:45:00+00:00,18
498,FoxNews,0.0,0.0,0.0,1.0,2018-10-03 05:38:00+00:00,19
499,FoxNews,0.4767,0.171,0.0,0.829,2018-10-03 05:30:00+00:00,20
